rank,img,title,artist,album
54,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/748/133/83748133_1681960235531_1_140x140.JPG/dims/resize/Q_80,0",헤어지자 말해요,박재정,1집 Alone
55,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/545/399/81545399_1600401677905_1_140x140.JPG/dims/resize/Q_80,0",Dynamite,방탄소년단,Dynamite (DayTime Ver.)
56,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/798/875/82798875_1656663217923_1_140x140.JPG/dims/resize/Q_80,0",그라데이션,10CM,5.3
57,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/727/185/82727185_1654248208229_1_140x140.JPG/dims/resize/Q_80,0",해요 (2022),#안녕,해요 (2022)
58,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/044/844/82044844_1651133261932_1_140x140.JPG/dims/resize/Q_80,0",Loving You Girl (Feat. Hkeem),Peder Elias,Love & Loneliness
59,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/417/569/82417569_1638329272770_1_140x140.JPG/dims/resize/Q_80,0",ELEVEN,IVE (아이브),ELEVEN
60,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/659/634/82659634_1663829189608_1_140x140.JPG/dims/resize/Q_80,0",Unholy,Sam Smith & Kim Petras,Unholy
61,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/684/216/83684216_1680659141283_1_140x140.JPG/dims/resize/Q_80,0",빙글빙글 (Prod. by R.Tee),헤이즈 (Heize),빙글빙글
62,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/727/409/83727409_1681346323239_1_140x140.JPG/dims/resize/Q_80,0",빛이 나는 너에게,던 (DAWN),빛이 나는 너에게
63,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/602/752/82602752_1648117827255_1_140x140.JPG/dims/resize/Q_80,0",내가 아니라도,주호,내가 아니라도
64,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/597/832/83597832_1677831671648_1_140x140.JPG/dims/resize/Q_80,0",Nostalgia,우디 (Woody),Nostalgia
65,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/645/633/82645633_1650352944627_1_140x140.JPG/dims/resize/Q_80,0",정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자
66,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/613/607/83613607_1679300973213_1_140x140.JPG/dims/resize/Q_80,0",Love Me Like This,NMIXX,expérgo
67,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/669/125/82669125_1651458341829_1_140x140.JPG/dims/resize/Q_80,0",FEARLESS,LE SSERAFIM (르세라핌),FEARLESS
