rank,category,channel,구독자수,view,video
261,미분류,BABYMONSTER,2200000,2억6790만,40개
264,음악/댄스/가수,헨리 Henry Lau,2190000,2억5679만,302개
263,음악/댄스/가수,MLD ENTERTAINMENT,2190000,8억7271만,802개
262,음식/요리/레시피,도남이먹방Donam,2190000,7억4803만,"1,082개"
266,미분류,꿀주부 Honeyjubu,2180000,2억0710만,159개
265,음악/댄스/가수,채널 NCT DANCE,2180000,2억1671만,42개
268,키즈/어린이,Lime Doodles,2170000,8억0643만,"1,274개"
267,미분류,Stray Kids Japan Official YouTube,2170000,2억9018만,144개
270,패션/미용,free지아,2160000,2920만,34개
269,음악/댄스/가수,AOMGOFFICIAL,2160000,6억6202만,462개
271,게임,침착맨,2150000,16억5334만,"6,508개"
273,음악/댄스/가수,4Minute 포미닛(Official YouTube Channel),2140000,13억7697만,82개
272,교육/강의,올리버쌤,2140000,7억7570만,831개
276,음식/요리/레시피,꿀키honeykki,2130000,2억7892만,463개
275,애완/반려동물,수리노을SuriNoel,2130000,8억2516만,"1,207개"
274,BJ/인물/연예인,와썹맨-Wassup Man,2130000,3억3287만,193개
277,애완/반려동물,[THE SOY]루퐁이네,2120000,8억2865만,533개
278,뉴스/정치/사회,채널A 뉴스,2100000,33억0158만,"84,472개"
279,음악/댄스/가수,CL Official Channel,2090000,2억8803만,72개
281,음식/요리/레시피,FoodieBoy 푸디보이,2080000,7억5435만,"1,640개"
280,TV/방송,dingo freestyle,2080000,14억0356만,"1,290개"
285,키즈/어린이,Zorip - Nursery Rhymes,2070000,6억6410만,25개
284,취미/라이프,피식대학Psick Univ,2070000,8억5162만,901개
283,TV/방송,MBN Entertainment,2070000,22억1146만,"65,633개"
282,게임,잠뜰 TV,2070000,32억3103만,"3,531개"
287,애완/반려동물,밀키복이탄이MilkyBokiTan,2060000,7억4795만,573개
286,취미/라이프,Imaginative Guy,2060000,6억9875만,140개
288,음식/요리/레시피,밴쯔,2050000,11억6438만,"2,590개"
289,BJ/인물/연예인,대생 Daesaeng,2040000,17억0050만,"1,832개"
290,키즈/어린이,캐리TV 장난감친구들,2030000,28억6522만,"3,170개"
292,스포츠/운동,Allblanc TV,2020000,2억4377만,553개
291,음악/댄스/가수,THE BOYZ,2020000,6억0696만,761개
294,TV/방송,오킹TV,2010000,10억3818만,"1,869개"
293,영화/만화/애니,레이디버그TV,2010000,208만,27개
298,키즈/어린이,WildBrain 한국어,2000000,8억0394만,"2,896개"
297,음악/댄스/가수,SUGA - Topic,2000000,1억5063만,60개
296,미분류,1theK Originals - 원더케이 오리지널,2000000,12억4399만,"2,267개"
295,음악/댄스/가수,CHEN,2000000,3893만,16개
300,음악/댄스/가수,비몽,1990000,10억8489만,"5,129개"
299,음악/댄스/가수,EXID_OFFICIAL,1990000,7억3586만,341개
303,뉴스/정치/사회,EBSCulture (EBS 교양),1980000,14억7380만,"45,376개"
302,음악/댄스/가수,loonatheworld,1980000,8억3397만,"1,113개"
301,TV/방송,퇴경아 약먹자,1980000,3억6244만,700개
304,음악/댄스/가수,woolliment,1970000,9억1791만,938개
308,미분류,Teen Vogue,1960000,6억9835만,"1,424개"
307,키즈/어린이,핑키팝토이,1960000,9억1803만,"1,179개"
306,키즈/어린이,유라야놀자(Let's play YURA),1960000,22억9714만,"1,775개"
305,키즈/어린이,대문밖장덕대,1960000,9억3562만,"1,644개"
310,음악/댄스/가수,ARIRANG K-POP,1950000,8억6856만,"32,291개"
309,키즈/어린이,Dollightful,1950000,3억1893만,167개
311,음악/댄스/가수,BTOB 비투비 (Official YouTube Channel),1950000,6억6836만,997개
312,미분류,1분미만,1940000,5억9736만,321개
316,키즈/어린이,두두팝토이,1920000,10억9858만,"1,431개"
315,미분류,NMIXX,1920000,4억5423만,372개
314,TV/방송,문명특급 - MMTG,1920000,6억2723만,412개
313,교육/강의,jannahkorea 잔나코리아,1920000,2억9316만,586개
319,TV/방송,키에커,1910000,7억9760만,270개
318,스포츠/운동,SPOTV,1910000,14억9176만,"12,648개"
317,키즈/어린이,Toy Wizard [토이위자드],1910000,3087만,30개
322,미분류,Jung Kook - Topic,1890000,7455만,3개
321,TV/방송,KBS 한국방송,1890000,18억0632만,"32,044개"
320,음악/댄스/가수,DAY6,1890000,5억3515만,417개
324,BJ/인물/연예인,[상윤쓰]Sangyoon,1880000,4억5500만,213개
323,키즈/어린이,뉴욕이네,1880000,8억7676만,890개
328,미분류,XG,1870000,4억1458만,224개
327,키즈/어린이,Clay Adventure 클레이 모험,1870000,10억9085만,"1,344개"
326,TV/방송,tvN D STUDIO,1870000,6억8211만,"1,282개"
325,음악/댄스/가수,셀프어쿠스틱selfacoustic,1870000,5억0035만,245개
330,게임,혜안,1860000,9억9459만,"1,155개"
